customer_id	age	age_group	plan_type	customer_value	subscription_in_months	complain_registered	lost_customer	nb_call_seconds	nb_calls	nb_lost_calls	nb_sms	nb_distinct_numbers
Client0071	45	Group_4	Contractual	332.05	39	No	FALSE	11525	157	10	16	49
Client0072	25	Group_2	PayAsYouGo	817.02	39	No	FALSE	6778	78	11	113	39
Client0073	30	Group_3	PayAsYouGo	126.6	35	Yes	TRUE	1015	50	26	21	19
Client0074	55	Group_5	Contractual	167.865	38	Yes	FALSE	10495	96	24	6	44
Client0075	25	Group_2	PayAsYouGo	408.555	38	No	FALSE	5878	101	16	31	26
Client0076	30	Group_3	PayAsYouGo	137	36	No	FALSE	2900	25	4	5	16
Client0077	30	Group_3	PayAsYouGo	179.76	37	No	TRUE	3050	44	12	14	18
Client0078	30	Group_3	PayAsYouGo	251	38	Yes	TRUE	2328	47	12	39	33
Client0079	30	Group_3	PayAsYouGo	27.92	38	No	TRUE	193	5	3	5	4
Client0080	45	Group_4	PayAsYouGo	56.4	38	No	FALSE	1728	28	4	5	8
Client0081	55	Group_5	PayAsYouGo	132.675	35	No	FALSE	6845	100	6	19	24
Client0082	45	Group_4	PayAsYouGo	52.45	38	No	TRUE	688	10	3	14	6
Client0083	55	Group_5	PayAsYouGo	19.575	38	No	FALSE	398	7	3	9	4
Client0084	25	Group_2	PayAsYouGo	759.42	33	No	FALSE	16135	241	28	5	82
Client0085	30	Group_3	Contractual	1389.76	36	Yes	FALSE	7025	119	9	276	35
Client0086	30	Group_3	PayAsYouGo	182.52	38	No	FALSE	3778	85	5	7	30
Client0087	30	Group_3	PayAsYouGo	242.88	37	No	FALSE	1725	47	6	43	22
Client0088	25	Group_2	PayAsYouGo	940.32	38	No	FALSE	2840	56	9	180	25
Client0089	30	Group_3	Contractual	848.56	29	No	FALSE	1375	39	7	198	13
Client0090	45	Group_4	PayAsYouGo	129.25	28	No	FALSE	1628	42	7	35	70
Client0091	30	Group_3	PayAsYouGo	91.52	29	No	FALSE	760	28	14	15	9
Client0092	45	Group_4	PayAsYouGo	87.45	28	No	FALSE	885	13	3	26	5
Client0093	25	Group_2	PayAsYouGo	167.4	27	No	FALSE	1285	35	13	24	15
Client0094	30	Group_3	PayAsYouGo	185.96	27	No	FALSE	3285	64	5	13	25
Client0095	25	Group_2	PayAsYouGo	228.78	20	No	FALSE	1755	29	5	33	16
Client0096	25	Group_2	Contractual	701.865	19	No	FALSE	6453	144	19	90	44
Client0097	55	Group_5	PayAsYouGo	254.505	17	No	FALSE	8993	174	15	78	42
Client0098	30	Group_3	PayAsYouGo	262.44	18	No	FALSE	2913	48	11	36	21
Client0099	30	Group_3	PayAsYouGo	1059.72	11	No	FALSE	4450	43	5	220	12
Client0100	30	Group_3	PayAsYouGo	82.8	11	Yes	TRUE	1548	22	6	5	9
Client0101	25	Group_2	PayAsYouGo	197.01	36	No	FALSE	4310	68	5	0	15
Client0103	25	Group_2	PayAsYouGo	1703.25	35	No	FALSE	2393	57	7	354	22
Client0104	15	Group_1	PayAsYouGo	231.055	36	No	FALSE	4138	63	7	0	33
Client0105	15	Group_1	PayAsYouGo	131.34	36	No	FALSE	2333	55	0	0	31
Client0106	30	Group_3	PayAsYouGo	259.76	36	No	FALSE	3715	79	8	27	26
Client0107	30	Group_3	PayAsYouGo	1213.44	36	No	FALSE	2300	36	1	280	16
Client0108	30	Group_3	PayAsYouGo	922.92	35	No	FALSE	9055	118	10	139	41
Client0109	30	Group_3	PayAsYouGo	555.16	36	No	FALSE	13713	166	4	0	42
Client0110	30	Group_3	PayAsYouGo	181.4	36	No	FALSE	4455	80	4	0	23
Client0111	25	Group_2	PayAsYouGo	276.75	36	No	FALSE	5858	92	3	2	10
Client0113	30	Group_3	PayAsYouGo	808.08	36	No	FALSE	15080	222	22	49	30
Client0114	30	Group_3	PayAsYouGo	2034.36	36	No	FALSE	3035	24	1	478	6
Client0115	25	Group_2	PayAsYouGo	1354.68	35	No	FALSE	15425	179	6	145	28
Client0116	30	Group_3	PayAsYouGo	984.92	35	No	FALSE	6440	83	0	181	24
Client0120	25	Group_2	PayAsYouGo	2046.24	35	No	FALSE	7448	124	0	379	41
Client0121	30	Group_3	PayAsYouGo	486.24	35	No	FALSE	11405	151	4	6	45
Client0122	25	Group_2	PayAsYouGo	766.35	35	No	FALSE	6658	72	5	103	35
Client0124	45	Group_4	PayAsYouGo	261.625	34	No	FALSE	10375	90	18	0	40
Client0125	25	Group_2	PayAsYouGo	357.885	34	No	TRUE	5758	95	10	21	22
Client0126	30	Group_3	PayAsYouGo	111.96	32	No	FALSE	2780	19	0	0	12
Client0130	30	Group_3	PayAsYouGo	65.2	34	No	FALSE	1608	22	0	0	4
Client0131	45	Group_4	PayAsYouGo	192.975	31	No	FALSE	6725	94	0	9	20
Client0133	55	Group_5	PayAsYouGo	0	34	No	FALSE	0	0	0	0	0
Client0134	25	Group_2	PayAsYouGo	731.25	29	No	FALSE	16015	235	22	0	78
Client0135	25	Group_2	Contractual	1512.81	32	No	FALSE	6905	113	3	266	31
Client0136	25	Group_2	PayAsYouGo	168.165	34	No	FALSE	3658	79	0	0	26
Client0138	25	Group_2	PayAsYouGo	889.65	34	No	FALSE	2720	50	3	170	21
Client0139	25	Group_2	Contractual	903.96	25	No	FALSE	1255	33	1	188	9
Client0140	45	Group_4	PayAsYouGo	101.1	24	No	FALSE	1508	36	1	25	66
Client0143	25	Group_2	PayAsYouGo	116.73	23	No	FALSE	1165	29	7	14	11
Client0144	30	Group_3	PayAsYouGo	140.92	23	No	FALSE	3165	58	0	3	21
Client0145	25	Group_2	PayAsYouGo	178.11	16	No	FALSE	1635	23	0	23	12
Client0146	15	Group_1	Contractual	795.905	15	No	FALSE	6333	138	13	80	40
Client0147	45	Group_4	PayAsYouGo	396.025	13	No	FALSE	8873	168	9	68	38
Client0148	30	Group_3	PayAsYouGo	217.4	14	No	FALSE	2793	42	5	26	17
Client0149	30	Group_3	PayAsYouGo	1014.68	7	No	FALSE	4330	37	0	210	8
Client0150	30	Group_3	PayAsYouGo	57.76	7	No	TRUE	1428	16	0	0	5
Client0151	30	Group_3	PayAsYouGo	240.92	42	No	FALSE	4450	73	9	15	21
Client0153	30	Group_3	PayAsYouGo	1579.8	41	No	FALSE	2533	62	11	369	28
Client0154	15	Group_1	PayAsYouGo	299.53	42	No	FALSE	4278	68	11	11	39
Client0155	25	Group_2	PayAsYouGo	167.985	42	No	FALSE	2473	60	4	12	37
Client0156	30	Group_3	PayAsYouGo	325.56	42	No	FALSE	3855	84	12	42	32
Client0157	30	Group_3	PayAsYouGo	1279.24	42	No	FALSE	2440	41	5	295	22
Client0158	30	Group_3	PayAsYouGo	988.72	41	No	FALSE	9195	123	14	154	47
Client0159	30	Group_3	PayAsYouGo	600.96	42	No	FALSE	13853	171	8	10	48
Client0160	30	Group_3	PayAsYouGo	235.2	42	No	FALSE	4595	85	8	12	29
Client0161	30	Group_3	PayAsYouGo	311.8	42	No	FALSE	5998	97	7	17	16
Client0163	30	Group_3	Contractual	873.88	42	No	FALSE	15220	227	26	64	36
Client0164	30	Group_3	PayAsYouGo	2100.16	42	No	FALSE	3175	29	5	493	12
Client0165	25	Group_2	PayAsYouGo	1428.705	41	No	FALSE	15565	184	10	160	34
Client0166	30	Group_3	PayAsYouGo	1050.72	41	No	FALSE	6580	88	4	196	30
Client0170	30	Group_3	PayAsYouGo	1884.68	41	No	FALSE	7588	129	4	394	47
Client0171	45	Group_4	PayAsYouGo	345.025	41	No	FALSE	11545	156	8	21	51
Client0172	25	Group_2	PayAsYouGo	840.375	41	No	FALSE	6798	77	9	118	41
Client0174	55	Group_5	PayAsYouGo	175.65	40	Yes	FALSE	10515	95	22	11	46
Client0175	25	Group_2	PayAsYouGo	431.91	40	No	TRUE	5898	100	14	36	28
Client0176	30	Group_3	PayAsYouGo	157.76	38	No	FALSE	2920	24	2	10	18
Client0180	45	Group_4	PayAsYouGo	69.375	40	No	FALSE	1748	27	2	10	10
Client0181	55	Group_5	PayAsYouGo	140.46	37	No	FALSE	6865	99	4	24	26
Client0183	55	Group_5	PayAsYouGo	27.36	40	No	FALSE	418	6	1	14	6
Client0184	25	Group_2	PayAsYouGo	782.775	35	No	FALSE	16155	240	26	10	84
Client0185	25	Group_2	Contractual	1586.835	38	Yes	FALSE	7045	118	7	281	37
Client0186	30	Group_3	PayAsYouGo	203.28	40	No	FALSE	3798	84	3	12	32
Client0188	25	Group_2	PayAsYouGo	963.675	40	No	FALSE	2860	55	7	185	27
Client0189	25	Group_2	Contractual	977.985	31	No	FALSE	1395	38	5	203	15
Client0190	45	Group_4	PayAsYouGo	142.225	30	No	FALSE	1648	41	5	40	72
Client0193	25	Group_2	PayAsYouGo	190.755	29	No	FALSE	1305	34	11	29	17
Client0194	30	Group_3	PayAsYouGo	206.72	29	No	FALSE	3305	63	3	18	27
Client0195	25	Group_2	PayAsYouGo	252.135	22	No	FALSE	1775	28	3	38	18
Client0196	25	Group_2	Contractual	725.22	21	No	FALSE	6473	143	17	95	46
Client0197	55	Group_5	PayAsYouGo	262.29	19	No	FALSE	9013	173	13	83	44
Client0198	30	Group_3	PayAsYouGo	283.2	20	No	FALSE	2933	47	9	41	23
Client0199	30	Group_3	PayAsYouGo	1080.48	13	No	FALSE	4470	42	3	225	14
Client0200	30	Group_3	PayAsYouGo	103.56	13	No	TRUE	1568	21	4	10	11
Client0201	25	Group_2	PayAsYouGo	196.155	34	No	FALSE	4290	69	7	0	13
Client0203	25	Group_2	PayAsYouGo	1679.895	33	No	FALSE	2373	58	9	349	20
Client0204	15	Group_1	PayAsYouGo	230.01	34	No	FALSE	4118	64	9	0	31
Client0205	15	Group_1	PayAsYouGo	130.295	34	No	FALSE	2313	56	2	0	29
Client0206	30	Group_3	PayAsYouGo	239	34	No	FALSE	3695	80	10	22	24
Client0207	30	Group_3	PayAsYouGo	1192.68	34	No	FALSE	2280	37	3	275	14
Client0208	30	Group_3	PayAsYouGo	902.16	33	No	FALSE	9035	119	12	134	39
Client0209	30	Group_3	PayAsYouGo	554.4	34	No	FALSE	13693	167	6	0	40
Client0210	30	Group_3	PayAsYouGo	180.64	34	No	FALSE	4435	81	6	0	21
Client0211	25	Group_2	PayAsYouGo	266.895	34	No	FALSE	5838	93	5	0	8
Client0213	30	Group_3	PayAsYouGo	787.32	34	No	FALSE	15060	223	24	44	28
Client0214	30	Group_3	PayAsYouGo	2013.6	34	No	FALSE	3015	25	3	473	4
Client0215	25	Group_2	PayAsYouGo	1331.325	33	No	FALSE	15405	180	8	140	26
Client0216	30	Group_3	PayAsYouGo	964.16	33	No	FALSE	6420	84	2	176	22
Client0220	25	Group_2	PayAsYouGo	2022.885	33	No	FALSE	7428	125	2	374	39
Client0221	30	Group_3	PayAsYouGo	465.48	33	No	FALSE	11385	152	6	1	43
Client0222	25	Group_2	PayAsYouGo	742.995	33	No	FALSE	6638	73	7	98	33
Client0224	45	Group_4	PayAsYouGo	261.15	32	No	FALSE	10355	91	20	0	38
Client0225	25	Group_2	PayAsYouGo	334.53	32	Yes	TRUE	5738	96	12	16	20
Client0226	30	Group_3	PayAsYouGo	111.2	30	No	FALSE	2760	20	0	0	10
Client0230	30	Group_3	PayAsYouGo	64.44	32	No	FALSE	1588	23	0	0	2
Client0231	45	Group_4	PayAsYouGo	180	29	No	FALSE	6705	95	2	4	18
Client0233	55	Group_5	PayAsYouGo	0	32	No	FALSE	0	0	0	0	0
Client0234	25	Group_2	PayAsYouGo	730.395	27	No	FALSE	15995	236	24	0	76
Client0235	25	Group_2	Contractual	1489.455	30	No	FALSE	6885	114	5	261	29
Client0236	25	Group_2	PayAsYouGo	167.31	32	No	FALSE	3638	80	1	0	24
Client0238	25	Group_2	PayAsYouGo	866.295	32	No	FALSE	2700	51	5	165	19
Client0239	25	Group_2	Contractual	880.605	23	No	FALSE	1235	34	3	183	7
Client0240	45	Group_4	PayAsYouGo	88.125	22	No	FALSE	1488	37	3	20	64
Client0243	25	Group_2	PayAsYouGo	93.375	21	No	FALSE	1145	30	9	9	9
Client0244	30	Group_3	PayAsYouGo	128.16	21	No	FALSE	3145	59	1	0	19
Client0245	25	Group_2	PayAsYouGo	154.755	14	No	FALSE	1615	24	1	18	10
Client0246	15	Group_1	Contractual	767.36	13	No	FALSE	6313	139	15	75	38
Client0247	45	Group_4	PayAsYouGo	383.05	11	No	FALSE	8853	169	11	63	36
Client0248	30	Group_3	PayAsYouGo	196.64	12	No	FALSE	2773	43	7	21	15
Client0249	30	Group_3	PayAsYouGo	993.92	5	No	FALSE	4310	38	1	205	6
Client0250	30	Group_3	PayAsYouGo	57	5	No	TRUE	1408	17	2	0	3
Client0251	30	Group_3	PayAsYouGo	268.44	44	No	FALSE	4630	81	13	20	23
Client0253	30	Group_3	PayAsYouGo	1607.32	43	No	FALSE	2713	70	15	374	30
Client0254	15	Group_1	PayAsYouGo	337.37	44	No	FALSE	4458	76	15	16	41
Client0255	25	Group_2	PayAsYouGo	198.945	44	No	FALSE	2653	68	8	17	39
Client0256	30	Group_3	PayAsYouGo	353.08	44	No	FALSE	4035	92	16	47	34
Client0257	30	Group_3	PayAsYouGo	1306.76	44	No	FALSE	2620	49	9	300	24
Client0258	30	Group_3	PayAsYouGo	1016.24	43	No	FALSE	9375	131	18	159	49
Client0259	30	Group_3	PayAsYouGo	628.48	44	No	FALSE	14033	179	12	15	50
Client0260	30	Group_3	PayAsYouGo	262.72	44	No	FALSE	4775	93	12	17	31
Client0261	30	Group_3	PayAsYouGo	339.32	44	No	FALSE	6178	105	11	22	18
Client0263	30	Group_3	PayAsYouGo	901.4	44	No	FALSE	15400	235	30	69	38
Client0264	30	Group_3	PayAsYouGo	2127.68	44	No	FALSE	3355	37	9	498	14
Client0265	25	Group_2	PayAsYouGo	1459.665	43	No	FALSE	15745	192	14	165	36
Client0266	30	Group_3	PayAsYouGo	1078.24	43	No	FALSE	6760	96	8	201	32
Client0270	30	Group_3	PayAsYouGo	1912.2	43	No	FALSE	7768	137	8	399	49
Client0271	45	Group_4	PayAsYouGo	362.225	43	No	FALSE	11725	164	12	26	53
Client0272	25	Group_2	PayAsYouGo	871.335	43	No	FALSE	6978	85	13	123	43
Client0274	55	Group_5	Contractual	185.97	42	No	FALSE	10695	103	26	16	48
Client0275	25	Group_2	PayAsYouGo	462.87	42	No	FALSE	6078	108	18	41	30
Client0276	30	Group_3	PayAsYouGo	185.28	40	No	FALSE	3100	32	6	15	20
Client0280	45	Group_4	PayAsYouGo	86.575	42	No	FALSE	1928	35	6	15	12
Client0281	55	Group_5	PayAsYouGo	150.78	39	No	FALSE	7045	107	8	29	28
Client0283	55	Group_5	PayAsYouGo	37.68	42	No	FALSE	598	14	5	19	8
Client0284	25	Group_2	PayAsYouGo	813.735	37	Yes	FALSE	16335	248	30	15	86
Client0285	30	Group_3	Contractual	1438.04	40	Yes	FALSE	7225	126	11	286	39
Client0286	30	Group_3	PayAsYouGo	230.8	42	No	FALSE	3978	92	7	17	34
Client0288	25	Group_2	PayAsYouGo	994.635	42	No	FALSE	3040	63	11	190	29
Client0289	30	Group_3	Contractual	896.84	33	No	FALSE	1575	46	9	208	17
Client0290	55	Group_5	PayAsYouGo	95.655	32	No	FALSE	1828	49	9	45	74
Client0293	25	Group_2	PayAsYouGo	221.715	31	No	FALSE	1485	42	15	34	19
Client0294	30	Group_3	PayAsYouGo	234.24	31	No	FALSE	3485	71	7	23	29
Client0295	30	Group_3	PayAsYouGo	251.64	24	No	FALSE	1955	36	7	43	20
Client0296	25	Group_2	Contractual	756.18	23	No	FALSE	6653	151	21	100	48
Client0297	55	Group_5	PayAsYouGo	272.61	21	No	FALSE	9193	181	17	88	46
Client0298	30	Group_3	PayAsYouGo	310.72	22	No	FALSE	3113	55	13	46	25
Client0299	30	Group_3	PayAsYouGo	1108	15	No	FALSE	4650	50	7	230	16
Client0300	30	Group_3	PayAsYouGo	131.08	15	Yes	TRUE	1748	29	8	15	13
Client0301	25	Group_2	PayAsYouGo	187.695	32	No	FALSE	4110	61	3	0	11
Client0303	25	Group_2	PayAsYouGo	1648.935	31	No	FALSE	2193	50	5	344	18
Client0304	15	Group_1	PayAsYouGo	219.67	32	No	FALSE	3938	56	5	0	29
Client0305	15	Group_1	PayAsYouGo	119.955	32	No	FALSE	2133	48	0	0	27
Client0306	25	Group_2	PayAsYouGo	237.915	32	No	FALSE	3515	72	6	17	22
Client0307	30	Group_3	PayAsYouGo	1165.16	32	No	FALSE	2100	29	0	270	12
Client0308	30	Group_3	PayAsYouGo	874.64	31	No	FALSE	8855	111	8	129	37
Client0309	30	Group_3	PayAsYouGo	546.88	32	No	FALSE	13513	159	2	0	38
Client0310	30	Group_3	PayAsYouGo	173.12	32	No	FALSE	4255	73	2	0	19
Client0311	25	Group_2	PayAsYouGo	258.435	32	No	FALSE	5658	85	1	0	6
Client0313	30	Group_3	PayAsYouGo	759.8	32	No	FALSE	14880	215	20	39	26
Client0314	30	Group_3	PayAsYouGo	1986.08	32	No	FALSE	2835	17	0	468	2
Client0315	25	Group_2	PayAsYouGo	1300.365	31	No	FALSE	15225	172	4	135	24
Client0316	30	Group_3	PayAsYouGo	936.64	31	No	FALSE	6240	76	0	171	20
Client0320	25	Group_2	PayAsYouGo	1991.925	31	No	FALSE	7248	117	0	369	37
Client0321	30	Group_3	PayAsYouGo	453.96	31	No	FALSE	11205	144	2	0	41
Client0322	25	Group_2	PayAsYouGo	712.035	31	No	FALSE	6458	65	3	93	31
Client0324	45	Group_4	PayAsYouGo	256.45	30	No	FALSE	10175	83	16	0	36
Client0325	25	Group_2	PayAsYouGo	303.57	30	Yes	TRUE	5558	88	8	11	18
Client0326	30	Group_3	PayAsYouGo	103.68	28	No	FALSE	2580	12	0	0	8
Client0330	30	Group_3	PayAsYouGo	0	30	No	FALSE	0	0	0	0	0
Client0331	45	Group_4	PayAsYouGo	165.3	27	No	FALSE	6525	87	0	0	16
Client0333	55	Group_5	PayAsYouGo	0	30	Yes	TRUE	0	0	0	0	0
Client0334	25	Group_2	PayAsYouGo	721.935	25	No	FALSE	15815	228	20	0	74
Client0335	25	Group_2	Contractual	1458.495	28	No	FALSE	6705	106	1	256	27
Client0336	25	Group_2	PayAsYouGo	158.85	30	No	FALSE	3458	72	0	0	22
Client0338	25	Group_2	PayAsYouGo	835.335	30	No	FALSE	2520	43	1	160	17
Client0339	25	Group_2	Contractual	849.645	21	No	FALSE	1055	26	0	178	5
Client0340	45	Group_4	PayAsYouGo	70.925	20	No	FALSE	1308	29	0	15	62
Client0343	25	Group_2	PayAsYouGo	62.415	19	No	FALSE	965	22	5	4	7
Client0344	30	Group_3	PayAsYouGo	120.64	19	No	FALSE	2965	51	0	0	17
Client0345	25	Group_2	PayAsYouGo	123.795	12	No	FALSE	1435	16	0	13	8
Client0346	15	Group_1	Contractual	729.52	11	No	FALSE	6133	131	11	70	36
Client0347	45	Group_4	PayAsYouGo	365.85	9	No	FALSE	8673	161	7	58	34
Client0348	30	Group_3	PayAsYouGo	169.12	10	No	FALSE	2593	35	3	16	13
Client0349	30	Group_3	PayAsYouGo	966.4	3	No	FALSE	4130	30	0	200	4
Client0350	25	Group_2	PayAsYouGo	55.665	3	Yes	TRUE	1228	9	0	0	1
Client0351	30	Group_3	PayAsYouGo	249.16	41	No	FALSE	4550	79	10	16	22
Client0353	30	Group_3	PayAsYouGo	1588.04	40	No	FALSE	2633	68	12	370	29
Client0354	15	Group_1	PayAsYouGo	310.86	41	No	FALSE	4378	74	12	12	40
Client0355	15	Group_1	PayAsYouGo	216.645	41	No	FALSE	2573	66	5	13	38
Client0356	30	Group_3	PayAsYouGo	333.8	41	No	FALSE	3955	90	13	43	33
Client0357	30	Group_3	PayAsYouGo	1287.48	41	No	FALSE	2540	47	6	296	23
Client0358	30	Group_3	PayAsYouGo	996.96	40	No	FALSE	9295	129	15	155	48
Client0359	30	Group_3	PayAsYouGo	609.2	41	No	FALSE	13953	177	9	11	49
Client0360	30	Group_3	PayAsYouGo	243.44	41	No	FALSE	4695	91	9	13	30
Client0361	30	Group_3	PayAsYouGo	320.04	41	No	FALSE	6098	103	8	18	17
Client0363	30	Group_3	PayAsYouGo	882.12	41	No	FALSE	15320	233	27	65	37
Client0364	30	Group_3	PayAsYouGo	2108.4	41	No	FALSE	3275	35	6	494	13
Client0365	25	Group_2	PayAsYouGo	1437.975	40	No	FALSE	15665	190	11	161	35
Client0366	30	Group_3	PayAsYouGo	1058.96	40	No	FALSE	6680	94	5	197	31
Client0370	25	Group_2	PayAsYouGo	2129.535	40	No	FALSE	7688	135	5	395	48
Client0371	45	Group_4	PayAsYouGo	350.175	40	No	FALSE	11645	162	9	22	52
Client0372	25	Group_2	PayAsYouGo	849.645	40	No	FALSE	6898	83	10	119	42
Client0374	55	Group_5	PayAsYouGo	178.74	39	No	FALSE	10615	101	23	12	47
Client0375	25	Group_2	PayAsYouGo	441.18	39	No	FALSE	5998	106	15	37	29
Client0376	30	Group_3	PayAsYouGo	166	37	No	FALSE	3020	30	3	11	19
Client0380	30	Group_3	PayAsYouGo	119.24	39	No	FALSE	1848	33	3	11	11
Client0381	55	Group_5	PayAsYouGo	143.55	36	No	FALSE	6965	105	5	25	27
Client0383	55	Group_5	PayAsYouGo	30.45	39	No	FALSE	518	12	2	15	7
Client0384	25	Group_2	PayAsYouGo	792.045	34	Yes	FALSE	16255	246	27	11	85
Client0385	25	Group_2	Contractual	1596.105	37	No	FALSE	7145	124	8	282	38
Client0386	25	Group_2	PayAsYouGo	237.96	39	No	FALSE	3898	90	4	13	33
Client0388	25	Group_2	PayAsYouGo	972.945	39	No	FALSE	2960	61	8	186	28
Client0389	25	Group_2	Contractual	987.255	30	Yes	TRUE	1495	44	6	204	16
Client0390	45	Group_4	PayAsYouGo	147.375	29	No	FALSE	1748	47	6	41	73
Client0393	25	Group_2	PayAsYouGo	200.025	28	No	FALSE	1405	40	12	30	18
Client0394	30	Group_3	PayAsYouGo	214.96	28	No	FALSE	3405	69	4	19	28
Client0395	25	Group_2	PayAsYouGo	261.405	21	No	FALSE	1875	34	4	39	19
Client0396	25	Group_2	Contractual	734.49	20	No	FALSE	6573	149	18	96	47
Client0397	45	Group_4	PayAsYouGo	442.3	18	No	FALSE	9113	179	14	84	45
Client0398	30	Group_3	PayAsYouGo	291.44	19	No	FALSE	3033	53	10	42	24
Client0399	30	Group_3	PayAsYouGo	1088.72	12	No	FALSE	4570	48	4	226	15
Client0400	30	Group_3	PayAsYouGo	111.8	12	No	TRUE	1668	27	5	11	12
