"customer_id"	"age"	"age_group"	"plan_type"	"customer_value"	"subscription_in_months"	"complain_registered"	"lost_customer"
"Client0099"	30	"Group_3"	"PayAsYouGo"	1059.72	11	"No"	FALSE
"Client0100"	30	"Group_3"	"PayAsYouGo"	82.8	11	"Yes"	TRUE
"Client0101"	25	"Group_2"	"PayAsYouGo"	197.01	36	"No"	FALSE
"Client0103"	25	"Group_2"	"PayAsYouGo"	1703.25	35	"No"	FALSE
"Client0104"	15	"Group_1"	"PayAsYouGo"	231.055	36	"No"	FALSE
"Client0105"	15	"Group_1"	"PayAsYouGo"	131.34	36	"No"	FALSE
"Client0106"	30	"Group_3"	"PayAsYouGo"	259.76	36	"No"	FALSE
"Client0107"	30	"Group_3"	"PayAsYouGo"	1213.44	36	"No"	FALSE
"Client0108"	30	"Group_3"	"PayAsYouGo"	922.92	35	"No"	FALSE
"Client0109"	30	"Group_3"	"PayAsYouGo"	555.16	36	"No"	FALSE
"Client0110"	30	"Group_3"	"PayAsYouGo"	181.4	36	"No"	FALSE
"Client0111"	25	"Group_2"	"PayAsYouGo"	276.75	36	"No"	FALSE
"Client0113"	30	"Group_3"	"PayAsYouGo"	808.08	36	"No"	FALSE
"Client0114"	30	"Group_3"	"PayAsYouGo"	2034.36	36	"No"	FALSE
"Client0115"	25	"Group_2"	"PayAsYouGo"	1354.68	35	"No"	FALSE
"Client0116"	30	"Group_3"	"PayAsYouGo"	984.92	35	"No"	FALSE
"Client0120"	25	"Group_2"	"PayAsYouGo"	2046.24	35	"No"	FALSE
"Client0121"	30	"Group_3"	"PayAsYouGo"	486.24	35	"No"	FALSE
"Client0122"	25	"Group_2"	"PayAsYouGo"	766.35	35	"No"	FALSE
"Client0124"	45	"Group_4"	"PayAsYouGo"	261.625	34	"No"	FALSE
"Client0125"	25	"Group_2"	"PayAsYouGo"	357.885	34	"No"	TRUE
"Client0126"	30	"Group_3"	"PayAsYouGo"	111.96	32	"No"	FALSE
"Client0130"	30	"Group_3"	"PayAsYouGo"	65.2	34	"No"	FALSE
"Client0131"	45	"Group_4"	"PayAsYouGo"	192.975	31	"No"	FALSE
"Client0133"	55	"Group_5"	"PayAsYouGo"	0	34	"No"	FALSE
"Client0134"	25	"Group_2"	"PayAsYouGo"	731.25	29	"No"	FALSE
"Client0135"	25	"Group_2"	"Contractual"	1512.81	32	"No"	FALSE
"Client0136"	25	"Group_2"	"PayAsYouGo"	168.165	34	"No"	FALSE
"Client0138"	25	"Group_2"	"PayAsYouGo"	889.65	34	"No"	FALSE
"Client0139"	25	"Group_2"	"Contractual"	903.96	25	"No"	FALSE
"Client0140"	45	"Group_4"	"PayAsYouGo"	101.1	24	"No"	FALSE
"Client0143"	25	"Group_2"	"PayAsYouGo"	116.73	23	"No"	FALSE
"Client0144"	30	"Group_3"	"PayAsYouGo"	140.92	23	"No"	FALSE
"Client0145"	25	"Group_2"	"PayAsYouGo"	178.11	16	"No"	FALSE
"Client0146"	15	"Group_1"	"Contractual"	795.905	15	"No"	FALSE
"Client0147"	45	"Group_4"	"PayAsYouGo"	396.025	13	"No"	FALSE
"Client0148"	30	"Group_3"	"PayAsYouGo"	217.4	14	"No"	FALSE
"Client0149"	30	"Group_3"	"PayAsYouGo"	1014.68	7	"No"	FALSE
"Client0150"	30	"Group_3"	"PayAsYouGo"	57.76	7	"No"	TRUE
"Client0151"	30	"Group_3"	"PayAsYouGo"	240.92	42	"No"	FALSE
"Client0153"	30	"Group_3"	"PayAsYouGo"	1579.8	41	"No"	FALSE
"Client0154"	15	"Group_1"	"PayAsYouGo"	299.53	42	"No"	FALSE
"Client0155"	25	"Group_2"	"PayAsYouGo"	167.985	42	"No"	FALSE
"Client0156"	30	"Group_3"	"PayAsYouGo"	325.56	42	"No"	FALSE
"Client0157"	30	"Group_3"	"PayAsYouGo"	1279.24	42	"No"	FALSE
"Client0158"	30	"Group_3"	"PayAsYouGo"	988.72	41	"No"	FALSE
"Client0159"	30	"Group_3"	"PayAsYouGo"	600.96	42	"No"	FALSE
"Client0160"	30	"Group_3"	"PayAsYouGo"	235.2	42	"No"	FALSE
"Client0161"	30	"Group_3"	"PayAsYouGo"	311.8	42	"No"	FALSE
"Client0163"	30	"Group_3"	"Contractual"	873.88	42	"No"	FALSE
"Client0164"	30	"Group_3"	"PayAsYouGo"	2100.16	42	"No"	FALSE
"Client0165"	25	"Group_2"	"PayAsYouGo"	1428.705	41	"No"	FALSE
"Client0166"	30	"Group_3"	"PayAsYouGo"	1050.72	41	"No"	FALSE
"Client0170"	30	"Group_3"	"PayAsYouGo"	1884.68	41	"No"	FALSE
"Client0171"	45	"Group_4"	"PayAsYouGo"	345.025	41	"No"	FALSE
"Client0172"	25	"Group_2"	"PayAsYouGo"	840.375	41	"No"	FALSE
"Client0174"	55	"Group_5"	"PayAsYouGo"	175.65	40	"Yes"	FALSE
"Client0175"	25	"Group_2"	"PayAsYouGo"	431.91	40	"No"	TRUE
"Client0176"	30	"Group_3"	"PayAsYouGo"	157.76	38	"No"	FALSE
"Client0180"	45	"Group_4"	"PayAsYouGo"	69.375	40	"No"	FALSE
"Client0181"	55	"Group_5"	"PayAsYouGo"	140.46	37	"No"	FALSE
"Client0183"	55	"Group_5"	"PayAsYouGo"	27.36	40	"No"	FALSE
"Client0184"	25	"Group_2"	"PayAsYouGo"	782.775	35	"No"	FALSE
"Client0185"	25	"Group_2"	"Contractual"	1586.835	38	"Yes"	FALSE
"Client0186"	30	"Group_3"	"PayAsYouGo"	203.28	40	"No"	FALSE
"Client0188"	25	"Group_2"	"PayAsYouGo"	963.675	40	"No"	FALSE
"Client0189"	25	"Group_2"	"Contractual"	977.985	31	"No"	FALSE
"Client0190"	45	"Group_4"	"PayAsYouGo"	142.225	30	"No"	FALSE
"Client0193"	25	"Group_2"	"PayAsYouGo"	190.755	29	"No"	FALSE
"Client0194"	30	"Group_3"	"PayAsYouGo"	206.72	29	"No"	FALSE
"Client0195"	25	"Group_2"	"PayAsYouGo"	252.135	22	"No"	FALSE
"Client0196"	25	"Group_2"	"Contractual"	725.22	21	"No"	FALSE
"Client0197"	55	"Group_5"	"PayAsYouGo"	262.29	19	"No"	FALSE
"Client0198"	30	"Group_3"	"PayAsYouGo"	283.2	20	"No"	FALSE
"Client0199"	30	"Group_3"	"PayAsYouGo"	1080.48	13	"No"	FALSE
"Client0200"	30	"Group_3"	"PayAsYouGo"	103.56	13	"No"	TRUE
"Client0201"	25	"Group_2"	"PayAsYouGo"	196.155	34	"No"	FALSE
"Client0203"	25	"Group_2"	"PayAsYouGo"	1679.895	33	"No"	FALSE
"Client0204"	15	"Group_1"	"PayAsYouGo"	230.01	34	"No"	FALSE
"Client0205"	15	"Group_1"	"PayAsYouGo"	130.295	34	"No"	FALSE
"Client0206"	30	"Group_3"	"PayAsYouGo"	239	34	"No"	FALSE
"Client0207"	30	"Group_3"	"PayAsYouGo"	1192.68	34	"No"	FALSE
"Client0208"	30	"Group_3"	"PayAsYouGo"	902.16	33	"No"	FALSE
"Client0209"	30	"Group_3"	"PayAsYouGo"	554.4	34	"No"	FALSE
"Client0210"	30	"Group_3"	"PayAsYouGo"	180.64	34	"No"	FALSE
"Client0211"	25	"Group_2"	"PayAsYouGo"	266.895	34	"No"	FALSE
"Client0213"	30	"Group_3"	"PayAsYouGo"	787.32	34	"No"	FALSE
"Client0214"	30	"Group_3"	"PayAsYouGo"	2013.6	34	"No"	FALSE
"Client0215"	25	"Group_2"	"PayAsYouGo"	1331.325	33	"No"	FALSE
"Client0216"	30	"Group_3"	"PayAsYouGo"	964.16	33	"No"	FALSE
"Client0220"	25	"Group_2"	"PayAsYouGo"	2022.885	33	"No"	FALSE
"Client0221"	30	"Group_3"	"PayAsYouGo"	465.48	33	"No"	FALSE
"Client0222"	25	"Group_2"	"PayAsYouGo"	742.995	33	"No"	FALSE
"Client0224"	45	"Group_4"	"PayAsYouGo"	261.15	32	"No"	FALSE
"Client0225"	25	"Group_2"	"PayAsYouGo"	334.53	32	"Yes"	TRUE
"Client0226"	30	"Group_3"	"PayAsYouGo"	111.2	30	"No"	FALSE
"Client0230"	30	"Group_3"	"PayAsYouGo"	64.44	32	"No"	FALSE
"Client0231"	45	"Group_4"	"PayAsYouGo"	180	29	"No"	FALSE
"Client0233"	55	"Group_5"	"PayAsYouGo"	0	32	"No"	FALSE
"Client0234"	25	"Group_2"	"PayAsYouGo"	730.395	27	"No"	FALSE
"Client0235"	25	"Group_2"	"Contractual"	1489.455	30	"No"	FALSE
"Client0236"	25	"Group_2"	"PayAsYouGo"	167.31	32	"No"	FALSE
"Client0238"	25	"Group_2"	"PayAsYouGo"	866.295	32	"No"	FALSE
"Client0239"	25	"Group_2"	"Contractual"	880.605	23	"No"	FALSE
"Client0240"	45	"Group_4"	"PayAsYouGo"	88.125	22	"No"	FALSE
"Client0243"	25	"Group_2"	"PayAsYouGo"	93.375	21	"No"	FALSE
"Client0244"	30	"Group_3"	"PayAsYouGo"	128.16	21	"No"	FALSE
"Client0245"	25	"Group_2"	"PayAsYouGo"	154.755	14	"No"	FALSE
"Client0246"	15	"Group_1"	"Contractual"	767.36	13	"No"	FALSE
"Client0247"	45	"Group_4"	"PayAsYouGo"	383.05	11	"No"	FALSE
"Client0248"	30	"Group_3"	"PayAsYouGo"	196.64	12	"No"	FALSE
"Client0249"	30	"Group_3"	"PayAsYouGo"	993.92	5	"No"	FALSE
"Client0250"	30	"Group_3"	"PayAsYouGo"	57	5	"No"	TRUE
"Client0251"	30	"Group_3"	"PayAsYouGo"	268.44	44	"No"	FALSE
"Client0253"	30	"Group_3"	"PayAsYouGo"	1607.32	43	"No"	FALSE
"Client0254"	15	"Group_1"	"PayAsYouGo"	337.37	44	"No"	FALSE
"Client0255"	25	"Group_2"	"PayAsYouGo"	198.945	44	"No"	FALSE
"Client0256"	30	"Group_3"	"PayAsYouGo"	353.08	44	"No"	FALSE
"Client0257"	30	"Group_3"	"PayAsYouGo"	1306.76	44	"No"	FALSE
"Client0258"	30	"Group_3"	"PayAsYouGo"	1016.24	43	"No"	FALSE
"Client0259"	30	"Group_3"	"PayAsYouGo"	628.48	44	"No"	FALSE
"Client0260"	30	"Group_3"	"PayAsYouGo"	262.72	44	"No"	FALSE
"Client0261"	30	"Group_3"	"PayAsYouGo"	339.32	44	"No"	FALSE
"Client0263"	30	"Group_3"	"PayAsYouGo"	901.4	44	"No"	FALSE
"Client0264"	30	"Group_3"	"PayAsYouGo"	2127.68	44	"No"	FALSE
"Client0265"	25	"Group_2"	"PayAsYouGo"	1459.665	43	"No"	FALSE
"Client0266"	30	"Group_3"	"PayAsYouGo"	1078.24	43	"No"	FALSE
"Client0270"	30	"Group_3"	"PayAsYouGo"	1912.2	43	"No"	FALSE
"Client0271"	45	"Group_4"	"PayAsYouGo"	362.225	43	"No"	FALSE
"Client0272"	25	"Group_2"	"PayAsYouGo"	871.335	43	"No"	FALSE
"Client0274"	55	"Group_5"	"Contractual"	185.97	42	"No"	FALSE
"Client0275"	25	"Group_2"	"PayAsYouGo"	462.87	42	"No"	FALSE
"Client0276"	30	"Group_3"	"PayAsYouGo"	185.28	40	"No"	FALSE
"Client0280"	45	"Group_4"	"PayAsYouGo"	86.575	42	"No"	FALSE
"Client0281"	55	"Group_5"	"PayAsYouGo"	150.78	39	"No"	FALSE
"Client0283"	55	"Group_5"	"PayAsYouGo"	37.68	42	"No"	FALSE
"Client0284"	25	"Group_2"	"PayAsYouGo"	813.735	37	"Yes"	FALSE
"Client0285"	30	"Group_3"	"Contractual"	1438.04	40	"Yes"	FALSE
"Client0286"	30	"Group_3"	"PayAsYouGo"	230.8	42	"No"	FALSE
"Client0288"	25	"Group_2"	"PayAsYouGo"	994.635	42	"No"	FALSE
"Client0289"	30	"Group_3"	"Contractual"	896.84	33	"No"	FALSE
"Client0290"	55	"Group_5"	"PayAsYouGo"	95.655	32	"No"	FALSE
"Client0293"	25	"Group_2"	"PayAsYouGo"	221.715	31	"No"	FALSE
"Client0294"	30	"Group_3"	"PayAsYouGo"	234.24	31	"No"	FALSE
"Client0295"	30	"Group_3"	"PayAsYouGo"	251.64	24	"No"	FALSE
"Client0296"	25	"Group_2"	"Contractual"	756.18	23	"No"	FALSE
"Client0297"	55	"Group_5"	"PayAsYouGo"	272.61	21	"No"	FALSE
"Client0298"	30	"Group_3"	"PayAsYouGo"	310.72	22	"No"	FALSE
"Client0299"	30	"Group_3"	"PayAsYouGo"	1108	15	"No"	FALSE
"Client0300"	30	"Group_3"	"PayAsYouGo"	131.08	15	"Yes"	TRUE
"Client0301"	25	"Group_2"	"PayAsYouGo"	187.695	32	"No"	FALSE
"Client0303"	25	"Group_2"	"PayAsYouGo"	1648.935	31	"No"	FALSE
"Client0304"	15	"Group_1"	"PayAsYouGo"	219.67	32	"No"	FALSE
"Client0305"	15	"Group_1"	"PayAsYouGo"	119.955	32	"No"	FALSE
"Client0306"	25	"Group_2"	"PayAsYouGo"	237.915	32	"No"	FALSE
"Client0307"	30	"Group_3"	"PayAsYouGo"	1165.16	32	"No"	FALSE
"Client0308"	30	"Group_3"	"PayAsYouGo"	874.64	31	"No"	FALSE
"Client0309"	30	"Group_3"	"PayAsYouGo"	546.88	32	"No"	FALSE
"Client0310"	30	"Group_3"	"PayAsYouGo"	173.12	32	"No"	FALSE
"Client0311"	25	"Group_2"	"PayAsYouGo"	258.435	32	"No"	FALSE
"Client0313"	30	"Group_3"	"PayAsYouGo"	759.8	32	"No"	FALSE
"Client0314"	30	"Group_3"	"PayAsYouGo"	1986.08	32	"No"	FALSE
"Client0315"	25	"Group_2"	"PayAsYouGo"	1300.365	31	"No"	FALSE
"Client0316"	30	"Group_3"	"PayAsYouGo"	936.64	31	"No"	FALSE
"Client0320"	25	"Group_2"	"PayAsYouGo"	1991.925	31	"No"	FALSE
"Client0321"	30	"Group_3"	"PayAsYouGo"	453.96	31	"No"	FALSE
"Client0322"	25	"Group_2"	"PayAsYouGo"	712.035	31	"No"	FALSE
"Client0324"	45	"Group_4"	"PayAsYouGo"	256.45	30	"No"	FALSE
"Client0325"	25	"Group_2"	"PayAsYouGo"	303.57	30	"Yes"	TRUE
"Client0326"	30	"Group_3"	"PayAsYouGo"	103.68	28	"No"	FALSE
"Client0330"	30	"Group_3"	"PayAsYouGo"	0	30	"No"	FALSE
"Client0331"	45	"Group_4"	"PayAsYouGo"	165.3	27	"No"	FALSE
"Client0333"	55	"Group_5"	"PayAsYouGo"	0	30	"Yes"	TRUE
"Client0334"	25	"Group_2"	"PayAsYouGo"	721.935	25	"No"	FALSE
"Client0335"	25	"Group_2"	"Contractual"	1458.495	28	"No"	FALSE
"Client0336"	25	"Group_2"	"PayAsYouGo"	158.85	30	"No"	FALSE
"Client0338"	25	"Group_2"	"PayAsYouGo"	835.335	30	"No"	FALSE
"Client0339"	25	"Group_2"	"Contractual"	849.645	21	"No"	FALSE
"Client0340"	45	"Group_4"	"PayAsYouGo"	70.925	20	"No"	FALSE
"Client0343"	25	"Group_2"	"PayAsYouGo"	62.415	19	"No"	FALSE
"Client0344"	30	"Group_3"	"PayAsYouGo"	120.64	19	"No"	FALSE
"Client0345"	25	"Group_2"	"PayAsYouGo"	123.795	12	"No"	FALSE
"Client0346"	15	"Group_1"	"Contractual"	729.52	11	"No"	FALSE
"Client0347"	45	"Group_4"	"PayAsYouGo"	365.85	9	"No"	FALSE
"Client0348"	30	"Group_3"	"PayAsYouGo"	169.12	10	"No"	FALSE
"Client0349"	30	"Group_3"	"PayAsYouGo"	966.4	3	"No"	FALSE
"Client0350"	25	"Group_2"	"PayAsYouGo"	55.665	3	"Yes"	TRUE
"Client0351"	30	"Group_3"	"PayAsYouGo"	249.16	41	"No"	FALSE
"Client0353"	30	"Group_3"	"PayAsYouGo"	1588.04	40	"No"	FALSE
"Client0354"	15	"Group_1"	"PayAsYouGo"	310.86	41	"No"	FALSE
"Client0355"	15	"Group_1"	"PayAsYouGo"	216.645	41	"No"	FALSE
"Client0356"	30	"Group_3"	"PayAsYouGo"	333.8	41	"No"	FALSE
"Client0357"	30	"Group_3"	"PayAsYouGo"	1287.48	41	"No"	FALSE
"Client0358"	30	"Group_3"	"PayAsYouGo"	996.96	40	"No"	FALSE
"Client0359"	30	"Group_3"	"PayAsYouGo"	609.2	41	"No"	FALSE
"Client0360"	30	"Group_3"	"PayAsYouGo"	243.44	41	"No"	FALSE
"Client0361"	30	"Group_3"	"PayAsYouGo"	320.04	41	"No"	FALSE
"Client0363"	30	"Group_3"	"PayAsYouGo"	882.12	41	"No"	FALSE
"Client0364"	30	"Group_3"	"PayAsYouGo"	2108.4	41	"No"	FALSE
"Client0365"	25	"Group_2"	"PayAsYouGo"	1437.975	40	"No"	FALSE
"Client0366"	30	"Group_3"	"PayAsYouGo"	1058.96	40	"No"	FALSE
"Client0370"	25	"Group_2"	"PayAsYouGo"	2129.535	40	"No"	FALSE
"Client0371"	45	"Group_4"	"PayAsYouGo"	350.175	40	"No"	FALSE
"Client0372"	25	"Group_2"	"PayAsYouGo"	849.645	40	"No"	FALSE
"Client0374"	55	"Group_5"	"PayAsYouGo"	178.74	39	"No"	FALSE
"Client0375"	25	"Group_2"	"PayAsYouGo"	441.18	39	"No"	FALSE
"Client0376"	30	"Group_3"	"PayAsYouGo"	166	37	"No"	FALSE
"Client0380"	30	"Group_3"	"PayAsYouGo"	119.24	39	"No"	FALSE
"Client0381"	55	"Group_5"	"PayAsYouGo"	143.55	36	"No"	FALSE
"Client0383"	55	"Group_5"	"PayAsYouGo"	30.45	39	"No"	FALSE
"Client0384"	25	"Group_2"	"PayAsYouGo"	792.045	34	"Yes"	FALSE
"Client0385"	25	"Group_2"	"Contractual"	1596.105	37	"No"	FALSE
"Client0386"	25	"Group_2"	"PayAsYouGo"	237.96	39	"No"	FALSE
"Client0388"	25	"Group_2"	"PayAsYouGo"	972.945	39	"No"	FALSE
"Client0389"	25	"Group_2"	"Contractual"	987.255	30	"Yes"	TRUE
"Client0390"	45	"Group_4"	"PayAsYouGo"	147.375	29	"No"	FALSE
"Client0393"	25	"Group_2"	"PayAsYouGo"	200.025	28	"No"	FALSE
"Client0394"	30	"Group_3"	"PayAsYouGo"	214.96	28	"No"	FALSE
"Client0395"	25	"Group_2"	"PayAsYouGo"	261.405	21	"No"	FALSE
"Client0396"	25	"Group_2"	"Contractual"	734.49	20	"No"	FALSE
"Client0397"	45	"Group_4"	"PayAsYouGo"	442.3	18	"No"	FALSE
"Client0398"	30	"Group_3"	"PayAsYouGo"	291.44	19	"No"	FALSE
"Client0399"	30	"Group_3"	"PayAsYouGo"	1088.72	12	"No"	FALSE
"Client0400"	30	"Group_3"	"PayAsYouGo"	111.8	12	"No"	TRUE
"Client0401"	30	"Group_3"	"PayAsYouGo"	170.12	35	"No"	FALSE
"Client0403"	30	"Group_3"	"PayAsYouGo"	1485	34	"No"	FALSE
"Client0404"	15	"Group_1"	"PayAsYouGo"	224.18	35	"No"	FALSE
"Client0405"	15	"Group_1"	"PayAsYouGo"	124.465	35	"No"	FALSE
"Client0406"	30	"Group_3"	"PayAsYouGo"	230.76	35	"No"	FALSE
"Client0407"	30	"Group_3"	"PayAsYouGo"	1184.44	35	"No"	FALSE
"Client0408"	30	"Group_3"	"PayAsYouGo"	893.92	34	"No"	FALSE
"Client0409"	30	"Group_3"	"PayAsYouGo"	550.16	35	"No"	FALSE
"Client0410"	30	"Group_3"	"PayAsYouGo"	176.4	35	"No"	FALSE
"Client0411"	30	"Group_3"	"PayAsYouGo"	233	35	"No"	FALSE
"Client0413"	30	"Group_3"	"PayAsYouGo"	779.08	35	"No"	FALSE
"Client0414"	30	"Group_3"	"PayAsYouGo"	2005.36	35	"No"	FALSE
"Client0415"	25	"Group_2"	"PayAsYouGo"	1322.055	34	"No"	FALSE
"Client0416"	30	"Group_3"	"PayAsYouGo"	955.92	34	"No"	FALSE
"Client0420"	25	"Group_2"	"PayAsYouGo"	2013.615	34	"No"	FALSE
"Client0421"	45	"Group_4"	"PayAsYouGo"	285.775	34	"No"	FALSE
"Client0422"	25	"Group_2"	"PayAsYouGo"	733.725	34	"No"	FALSE
"Client0424"	55	"Group_5"	"PayAsYouGo"	155.1	33	"No"	FALSE
"Client0425"	25	"Group_2"	"PayAsYouGo"	325.26	33	"Yes"	TRUE
"Client0426"	30	"Group_3"	"PayAsYouGo"	106.96	31	"No"	FALSE
"Client0430"	30	"Group_3"	"PayAsYouGo"	60.2	33	"No"	FALSE
"Client0431"	55	"Group_5"	"PayAsYouGo"	104.91	30	"No"	FALSE
